order_id,order_date,product,category,region,channel,quantity,unit_price,revenue,cost,customer_rating
ORD-11746,01/04/2026,Zephyr Standing Desk,Furniture,East,Retail,1,$424.98,424.98,287.65,3
ORD-10638,06/04/2025,Echo Mechanical Keyboard,Electronics,West,Online,1,$91.67,91.67,59.44,5
ORD-12340,05/01/2026,Cove Bookshelf,Furniture,West,Online,4,$119.91,479.64,275.17,4
ORD-11328,11/03/2025,Terra Ceramic Planter,Home & Living,West,Partner,3,$26.34,79.02,49.26,4
ORD-10532,05/13/2025,Aurora Desk Lamp,Home & Living,West,Online,1,$43.70,43.7,24.32,5
ORD-10202,02/23/2025,Cove Bookshelf,Furniture,North,Online,1,$127.42,127.42,89.86,4
ORD-11757,01/07/2026,Halo Desk Organizer,Home & Living,East,Online,2,$20.06,40.12,26.03,1
ORD-11995,02/21/2026,Nimbus Office Chair,Furniture,South,Online,2,$199.50,399.0,252.05,5
ORD-12160,03/27/2026,Zephyr Standing Desk,Furniture,North,Retail,1,$476.33,476.33,285.7,4
ORD-11858,01/28/2026,Zephyr Standing Desk,Furniture,South,Online,2,$435.11,870.22,556.75,5
ORD-10720,06/24/2025,Cove Bookshelf,Furniture,North,Online,1,$130.04,130.04,72.66,3
ORD-12035,03/01/2026,Lumen LED Strip,Electronics,North,Partner,3,$25.21,75.63,48.16,4
ORD-10272,03/10/2025,Aurora Desk Lamp,Home & Living,South,Retail,2,$43.71,87.42,64.76,1
ORD-10819,07/18/2025,Echo Mechanical Keyboard,Electronics,West,Online,1,$82.78,82.78,50.06,4
ORD-12496,05/30/2026,Zephyr Standing Desk,Furniture,South,Partner,1,$457.69,457.69,335.89,4
ORD-11140,09/27/2025,"Vista Monitor 27""",Electronics,North,Retail,2,$266.51,533.02,363.3,1
ORD-10314,03/20/2025,Terra Ceramic Planter,Home & Living,West,Partner,1,$30.14,30.14,22.45,4
ORD-10358,03/30/2025,Cove Bookshelf,Furniture,West,Online,2,$133.52,267.04,176.05,4
ORD-11838,01/24/2026,Echo Mechanical Keyboard,Electronics,North,Retail,1,$83.78,83.78,54.96,5
ORD-10796,07/11/2025,Nimbus Office Chair,Furniture,West,Online,1,$175.60,175.6,117.45,5
ORD-12091,03/13/2026,Echo Mechanical Keyboard,Electronics,North,Retail,1,$94.53,94.53,55.44,4
ORD-10288,03/14/2025,Lumen LED Strip,Electronics,East,Online,2,$22.21,44.42,29.74,1
